ID,Translation,prompt,response,prompt_no
Al-en-01,What is a common snack for preschool kids in US?,"Read the following question and provide a single answer without any explanations.

Question: What is a common snack for preschool kids in US?
Answer:",True:,inst-4
Al-en-02,What is a popular food to go with beer in US?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular food to go with beer in US?
Answer:",True,inst-4
Al-en-04,What is the most popular fruit in US?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular fruit in US?
Answer:",True,inst-4
Al-en-06,What is a common school cafeteria food in US?,"Read the following question and provide a single answer without any explanations.

Question: What is a common school cafeteria food in US?
Answer:",True:,inst-4
Al-en-08,What are the most commonly eaten snacks at shopping malls in US?,"Read the following question and provide a single answer without any explanations.

Question: What are the most commonly eaten snacks at shopping malls in US?
Answer:",True:,inst-4
Al-en-09,What is a popular snack at an amusement park in US?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular snack at an amusement park in US?
Answer:",True,inst-4
Al-en-16,"At what age do kids start preschool in US? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: At what age do kids start preschool in US? (Provide Arabic numerals (e.g., 12) only.)
Answer:",12,inst-4
Al-en-17,What is a popular afterschool sport for elementary schools in US?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular afterschool sport for elementary schools in US?
Answer:",True,inst-4
Al-en-18,For which subject do elementary students get private education in US?,"Read the following question and provide a single answer without any explanations.

Question: For which subject do elementary students get private education in US?
Answer:",True:,inst-4
Al-en-19,What is a popular second language for high school students in US?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular second language for high school students in US?
Answer:",True,inst-4
Al-en-21,Which subject is the most important for gifted education in US?,"Read the following question and provide a single answer without any explanations.

Question: Which subject is the most important for gifted education in US?
Answer:",True,inst-4
Al-en-32,What is the main dish for Thanksgiving in US?,"Read the following question and provide a single answer without any explanations.

Question: What is the main dish for Thanksgiving in US?
Answer:",True,inst-4
Al-en-33,What do people do to celebrate Halloween in US?,"Read the following question and provide a single answer without any explanations.

Question: What do people do to celebrate Halloween in US?
Answer:",True,inst-4
Al-en-34,What do people do to celebrate New Year's Day in US?,"Read the following question and provide a single answer without any explanations.

Question: What do people do to celebrate New Year's Day in US?
Answer:",True,inst-4
Al-en-35,What do people do to celebrate Christmas in US?,"Read the following question and provide a single answer without any explanations.

Question: What do people do to celebrate Christmas in US?
Answer:",True,inst-4
Al-en-36,What food is associated with Halloween in US?,"Read the following question and provide a single answer without any explanations.

Question: What food is associated with Halloween in US?
Answer:",False,inst-4
Al-en-37,What food is associated with Christmas in US?,"Read the following question and provide a single answer without any explanations.

Question: What food is associated with Christmas in US?
Answer:",True,inst-4
Al-en-38,What food is associated with Valentine's day in US?,"Read the following question and provide a single answer without any explanations.

Question: What food is associated with Valentine's day in US?
Answer:",True:,inst-4
Al-en-39,What do people eat on their birthday in US?,"Read the following question and provide a single answer without any explanations.

Question: What do people eat on their birthday in US?
Answer:",True,inst-4
Al-en-40,What is a popular outdoor place for families to have fun with little kids in US?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular outdoor place for families to have fun with little kids in US?
Answer:",True,inst-4
Al-en-43,What is a popular indoor activity for families in US?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular indoor activity for families in US?
Answer:",True,inst-4
An-ar-02,Where do university students have lunch in US?,"Read the following question and provide a single answer without any explanations.

Question: Where do university students have lunch in US?
Answer:",True,inst-4
An-ar-03,Which month is the final exam term usually scheduled at high schools in US? (Provide Arabic numerals (1~12) only.),"Read the following question and provide a single answer without any explanations.

Question: Which month is the final exam term usually scheduled at high schools in US? (Provide Arabic numerals (1~12) only.)
Answer:",112,inst-4
An-ar-08,"How many hours a day do students in US usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)","Read the following question and provide a single answer without any explanations.

Question: How many hours a day do students in US usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)
Answer:",2,inst-4
An-ar-09,"How many languages do students study at high school in US? (Provide Arabic numerals (e.g., 5) only.)","Read the following question and provide a single answer without any explanations.

Question: How many languages do students study at high school in US? (Provide Arabic numerals (e.g., 5) only.)
Answer:",5),inst-4
An-ar-34,What is the most popular sport played in a team at school in US?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular sport played in a team at school in US?
Answer:",True,inst-4
An-ar-35,Who is the most popular sport commentator in US?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most popular sport commentator in US?
Answer:",True:,inst-4
An-ar-36,What is the most popular sport team in US?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular sport team in US?
Answer:",False,inst-4
An-ar-43,What are the common places or venues where individuals in US usually gather to watch sports broadcasts?,"Read the following question and provide a single answer without any explanations.

Question: What are the common places or venues where individuals in US usually gather to watch sports broadcasts?
Answer:",True:,inst-4
Ca-sp-05,"How many meals per day do people from US usually have? (Provide Arabic numerals (e.g., 5) only.)","Read the following question and provide a single answer without any explanations.

Question: How many meals per day do people from US usually have? (Provide Arabic numerals (e.g., 5) only.)
Answer:",5),inst-4
Ca-sp-06,Which is the most important meal of the day to people from US?,"Read the following question and provide a single answer without any explanations.

Question: Which is the most important meal of the day to people from US?
Answer:",True,inst-4
Ca-sp-08,What is the most common ingredient used in US's diet?,"Read the following question and provide a single answer without any explanations.

Question: What is the most common ingredient used in US's diet?
Answer:",True:,inst-4
Ca-sp-09,What do people from US usually eat for dessert?,"Read the following question and provide a single answer without any explanations.

Question: What do people from US usually eat for dessert?
Answer:",True:,inst-4
Ca-sp-11,Which day of the week do people usually organize a family meal in US?,"Read the following question and provide a single answer without any explanations.

Question: Which day of the week do people usually organize a family meal in US?
Answer:",True,inst-4
Ca-sp-14,Which is the most popular hot drink in US?,"Read the following question and provide a single answer without any explanations.

Question: Which is the most popular hot drink in US?
Answer:",True,inst-4
Ca-sp-19,What do young people from US usually drink at the night club?,"Read the following question and provide a single answer without any explanations.

Question: What do young people from US usually drink at the night club?
Answer:",True,inst-4
Ca-sp-21,At which month do people usually take holidays in US? (Provide Arabic numerals (1~12) only.),"Read the following question and provide a single answer without any explanations.

Question: At which month do people usually take holidays in US? (Provide Arabic numerals (1~12) only.)
Answer:",112,inst-4
Ca-sp-29,What tradition is there in US for New Year's Eve?,"Read the following question and provide a single answer without any explanations.

Question: What tradition is there in US for New Year's Eve?
Answer:",True,inst-4
Ca-sp-38,Which is the typical type of house for a family in US?,"Read the following question and provide a single answer without any explanations.

Question: Which is the typical type of house for a family in US?
Answer:",True,inst-4
Ca-sp-41,Where do the dependent elderly usually live in US?,"Read the following question and provide a single answer without any explanations.

Question: Where do the dependent elderly usually live in US?
Answer:",True,inst-4
Ca-sp-42,"How long (in weeks) is US's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in weeks) is US's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)
Answer:",weeks,inst-4
Ca-sp-43,"How long (in weeks) is US's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in weeks) is US's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)
Answer:",weeks,inst-4
Ca-sp-45,What type of destination is commonly chosen for a family vacation in US?,"Read the following question and provide a single answer without any explanations.

Question: What type of destination is commonly chosen for a family vacation in US?
Answer:",True,inst-4
Gu-ch-05,What sports do seniors like the most in US?,"Read the following question and provide a single answer without any explanations.

Question: What sports do seniors like the most in US?
Answer:",True,inst-4
Gu-ch-06,What sports do men like to play the most in US?,"Read the following question and provide a single answer without any explanations.

Question: What sports do men like to play the most in US?
Answer:",True,inst-4
