ID,Translation,prompt,response,prompt_no,binary_score,weight_score
Al-en-01,What is a common snack for preschool kids in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is a common snack for preschool kids in China?
答案：",<extra_id_0>,inst-4,0,0
Al-en-02,What is a popular food to go with beer in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is a popular food to go with beer in China?
答案：",<extra_id_0>,inst-4,0,0
Al-en-04,What is the most popular fruit in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is the most popular fruit in China?
答案：",<extra_id_0>,inst-4,0,0
Al-en-06,What is a common school cafeteria food in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is a common school cafeteria food in China?
答案：",<extra_id_0>,inst-4,0,0
Al-en-08,What are the most commonly eaten snacks at shopping malls in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What are the most commonly eaten snacks at shopping malls in China?
答案：",<extra_id_0>,inst-4,0,0
Al-en-09,What is a popular snack at an amusement park in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is a popular snack at an amusement park in China?
答案：",<extra_id_0>,inst-4,0,0
Al-en-16,"At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)","阅读以下问题并仅提供一个答案，无需任何解释。

问题：At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)
答案：",<extra_id_0>,inst-4,0,0
Al-en-17,What is a popular afterschool sport for elementary schools in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is a popular afterschool sport for elementary schools in China?
答案：",<extra_id_0>,inst-4,0,0
Al-en-18,For which subject do elementary students get private education in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：For which subject do elementary students get private education in China?
答案：",<extra_id_0>,inst-4,0,0
Al-en-19,What is a popular second language for high school students in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：What is a popular second language for high school students in China?
答案：",<extra_id_0>,inst-4,0,0
Al-en-21,Which subject is the most important for gifted education in China?,"阅读以下问题并仅提供一个答案，无需任何解释。

问题：Which subject is the most important for gifted education in China?
答案：",<extra_id_0>,inst-4,0,0
