ID,Translation,prompt,response,prompt_no
Al-en-01,What is a common snack for preschool kids in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What is a common snack for preschool kids in Mexico?
Respuesta:",<extra_id_0>.,inst-4
Al-en-02,What is a popular food to go with beer in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What is a popular food to go with beer in Mexico?
Respuesta:",<extra_id_0>.,inst-4
Al-en-04,What is the most popular fruit in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What is the most popular fruit in Mexico?
Respuesta:",<extra_id_0>.,inst-4
Al-en-06,What is a common school cafeteria food in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What is a common school cafeteria food in Mexico?
Respuesta:",<extra_id_0>.,inst-4
Al-en-08,What are the most commonly eaten snacks at shopping malls in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What are the most commonly eaten snacks at shopping malls in Mexico?
Respuesta:",<extra_id_0>.,inst-4
Al-en-09,What is a popular snack at an amusement park in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What is a popular snack at an amusement park in Mexico?
Respuesta:",<extra_id_0>.,inst-4
Al-en-16,"At what age do kids start preschool in Mexico? (Provide Arabic numerals (e.g., 12) only.)","Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: At what age do kids start preschool in Mexico? (Provide Arabic numerals (e.g., 12) only.)
Respuesta:",<extra_id_0>.,inst-4
Al-en-17,What is a popular afterschool sport for elementary schools in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What is a popular afterschool sport for elementary schools in Mexico?
Respuesta:",<extra_id_0>.,inst-4
Al-en-18,For which subject do elementary students get private education in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: For which subject do elementary students get private education in Mexico?
Respuesta:",<extra_id_0>.,inst-4
Al-en-19,What is a popular second language for high school students in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What is a popular second language for high school students in Mexico?
Respuesta:",<extra_id_0>.,inst-4
Al-en-21,Which subject is the most important for gifted education in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: Which subject is the most important for gifted education in Mexico?
Respuesta:",<extra_id_0>.,inst-4
Al-en-32,What is the main dish for Thanksgiving in Mexico?,"Lea la siguiente pregunta y proporcione una única respuesta sin explicaciones.

Pregunta: What is the main dish for Thanksgiving in Mexico?
Respuesta:",<extra_id_0>.,inst-4
