ID,Translation,prompt,response,prompt_no
Al-en-01,What is a common snack for preschool kids in US?,"Read the following question and provide a single answer without any explanations.

Question: What is a common snack for preschool kids in US?
Answer:",Cookies,inst-4
Al-en-02,What is a popular food to go with beer in US?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular food to go with beer in US?
Answer:",Pizza,inst-4
Al-en-04,What is the most popular fruit in US?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular fruit in US?
Answer:",Apples,inst-4
Al-en-06,What is a common school cafeteria food in US?,"Read the following question and provide a single answer without any explanations.

Question: What is a common school cafeteria food in US?
Answer:",Pasta,inst-4
Al-en-08,What are the most commonly eaten snacks at shopping malls in US?,"Read the following question and provide a single answer without any explanations.

Question: What are the most commonly eaten snacks at shopping malls in US?
Answer:","Candy bars, chips, and popcorn.",inst-4
Al-en-09,What is a popular snack at an amusement park in US?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular snack at an amusement park in US?
Answer:",Soda and cotton candy,inst-4
Al-en-16,"At what age do kids start preschool in US? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: At what age do kids start preschool in US? (Provide Arabic numerals (e.g., 12) only.)
Answer:",4,inst-4
Al-en-17,What is a popular afterschool sport for elementary schools in US?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular afterschool sport for elementary schools in US?
Answer:",Basketball,inst-4
Al-en-18,For which subject do elementary students get private education in US?,"Read the following question and provide a single answer without any explanations.

Question: For which subject do elementary students get private education in US?
Answer:",Math,inst-4
Al-en-19,What is a popular second language for high school students in US?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular second language for high school students in US?
Answer:",Spanish,inst-4
Al-en-21,Which subject is the most important for gifted education in US?,"Read the following question and provide a single answer without any explanations.

Question: Which subject is the most important for gifted education in US?
Answer:",Mathematics,inst-4
Al-en-32,What is the main dish for Thanksgiving in US?,"Read the following question and provide a single answer without any explanations.

Question: What is the main dish for Thanksgiving in US?
Answer:",Turkey,inst-4
Al-en-33,What do people do to celebrate Halloween in US?,"Read the following question and provide a single answer without any explanations.

Question: What do people do to celebrate Halloween in US?
Answer:","People in the US celebrate Halloween by dressing up in costumes, carving pumpkins into jack-o'-lanterns, trick-or-treating, decorating their homes and yards with Halloween-themed decorations, attending Halloween parties, watching horror movies, and participating in community Halloween events.",inst-4
Al-en-34,What do people do to celebrate New Year's Day in US?,"Read the following question and provide a single answer without any explanations.

Question: What do people do to celebrate New Year's Day in US?
Answer:","People in the United States often celebrate New Year's Day with family gatherings, watching the ball drop in Times Square, attending parties, and making resolutions.",inst-4
Al-en-35,What do people do to celebrate Christmas in US?,"Read the following question and provide a single answer without any explanations.

Question: What do people do to celebrate Christmas in US?
Answer:","People in the US celebrate Christmas with activities such as decorating Christmas trees, exchanging gifts, singing Christmas songs, attending church services, and preparing and sharing Christmas meals.",inst-4
Al-en-36,What food is associated with Halloween in US?,"Read the following question and provide a single answer without any explanations.

Question: What food is associated with Halloween in US?
Answer:",Candy Corn,inst-4
Al-en-37,What food is associated with Christmas in US?,"Read the following question and provide a single answer without any explanations.

Question: What food is associated with Christmas in US?
Answer:",Presents,inst-4
Al-en-38,What food is associated with Valentine's day in US?,"Read the following question and provide a single answer without any explanations.

Question: What food is associated with Valentine's day in US?
Answer:",Chocolate,inst-4
